Ecclesiastes 1:1	The words of the Preacher, the son of David, king in Jerusalem.	The words of the Preacher, the son of David, king in Jerusalem.	The words of Ecclesiastes, the son of David, king of Jerusalem. 	The words of the Preacher, the son of David, king in Jerusalem.	The words of the Preacher, the son of David, king in Jerusalem.	The words of the preacher, the son of David, king of Jerusalem.	The words of the Preacher, the son of David, king in Jerusalem:	Words of a preacher, son of David, king in Jerusalem:	The words of the Preacher, the son of David, king in Jerusalem.	
Ecclesiastes 6:5	Moreover he hath not seen the sun, nor known <i>any thing</i>: this hath more rest than the other.	moreover it hath not seen the sun nor known it; this hath rest rather than the other:	He hath not seen the sun, nor known the distance of good and evil: 	moreover it hath not seen nor known the sun: this hath rest rather than the other.	moreover it hath not seen the sun nor known it; this hath rest rather than the other:	Moreover he hath not seen the sun, nor known any thing: this hath more rest than the other.	Moreover it has not seen the sun nor known it. This has rest rather than the other.	Even the sun he hath not seen nor known, more rest hath this than that.	Moreover he has not seen the sun, nor known any thing: this has more rest than the other.	
Ecclesiastes 6:6	Yea, though he live a thousand years twice <i>told</i>, yet hath he seen no good: do not all go to one place?	yea, though he live a thousand years twice told, and yet enjoy no good, do not all go to one place?	Although he lived two thousand years, and hath not enjoyed good things: do not all make haste to one place? 	Yea, though he live twice a thousand years, yet hath he seen no good: do not all go to one place?                             	yea, though he live a thousand years twice told, and yet enjoy no good: do not all go to one place?	Yes, though he liveth a thousand years twice told, yet hath he seen no good: do not all go to one place?	Yes, though he live a thousand years twice told, and yet fails to enjoy good, don't all go to one place?	And though he had lived a thousand years twice over, yet good he hath not seen; to the same place doth not every one go?	Yes, though he live a thousand years twice told, yet has he seen no good: do not all go to one place?	
Ecclesiastes 6:7	All the labour of man <i>is</i> for his mouth, and yet the appetite is not filled.	All the labor of man is for his mouth, and yet the appetite is not filled.	All the labour of man is for his mouth, but his soul shall not be filled. 	All the labour of man is for his mouth, and yet the appetite is not filled.	All the labour of man is for his mouth, and yet the appetite is not filled.	All the labor of man is for his mouth, and yet the appetite is not filled.	All the labor of man is for his mouth, and yet the appetite is not filled.	All the labour of man is for his mouth, and yet the soul is not filled.	All the labor of man is for his mouth, and yet the appetite is not filled.	
Ecclesiastes 6:8	For what hath the wise more than the fool? what hath the poor, that knoweth to walk before the living?	For what advantage hath the wise more than the fool? or what hath the poor man, that knoweth how to walk before the living?	What hath the wise man more than the fool? and what the poor man, but to go thither, where there is life? 	For what advantage hath the wise above the fool? what hath the poor, that knoweth to walk before the living?	For what advantage hath the wise more than the fool? or what hath the poor man, that knoweth to walk before the living?	For what hath the wise more than the fool? what hath the poor, that knoweth to walk before the living?	For what advantage has the wise more than the fool? What has the poor man, that knows how to walk before the living?	For what advantage is to the wise above the fool? What to the poor who knoweth to walk before the living?	For what has the wise more than the fool? what has the poor, that knows to walk before the living?	
Ecclesiastes 6:9	Better <i>is</i> the sight of the eyes than the wandering of the desire: this <i>is</i> also vanity and vexation of spirit.	Better is the sight of the eyes than the wandering of the desire: this also is vanity and a striving after wind.	Better it is to see what thou mayst desire, than to desire that which thou canst not know. But this also is vanity, and presumption of spirit. 	Better is the seeing of the eyes than the wandering of the desire: this also is vanity and pursuit of the wind.	Better is the sight of the eyes than the wandering of the desire: this also is vanity and a striving after wind.	Better is the sight of the eyes than the wandering of the desire: this is also vanity and vexation of spirit.	Better is the sight of the eyes than the wandering of the desire. This also is vanity and a chasing after wind.	Better is the sight of the eyes than the going of the soul. This also is vanity and vexation of spirit.	Better is the sight of the eyes than the wandering of the desire: this is also vanity and vexation of spirit.	
Ecclesiastes 6:10	That which hath been is named already, and it is known that it <i>is</i> man: neither may he contend with him that is mightier than he.	Whatsoever hath been, the name thereof was given long ago; and it is know what man is; neither can he contend with him that is mightier than he.	He that shall be, his name is already called: and it is known, that he is man, and cannot contend in judgment with him that is stronger than himself. 	That which is hath already been named; and what man is, is known, and that he cannot contend with him that is mightier than he.	Whatsoever hath been, the name thereof was given long ago, and it is known that it is man: neither can he contend with him that is mightier than he.	That which hath been is named already, and it is known that it is man: neither may he contend with him that is mightier than he.	Whatever has been, its name was given long ago; and it is known what man is; neither can he contend with him who is mightier than he.	What is that which hath been? already is its name called, and it is known that it is man, and he is not able to contend with him who is stronger than he.	That which has been is named already, and it is known that it is man: neither may he contend with him that is mightier than he.	
Ecclesiastes 6:11	Seeing there be many things that increase vanity, what <i>is</i> man the better?	Seeing there are many things that increase vanity, what is man the better?	There are many words that have much vanity in disputing. 	For there are many things that increase vanity: what is man advantaged?	Seeing there be many things that increase vanity, what is man the better?	Seeing there are many things that increase vanity, what is man the better?	For there are many words that create vanity. What does that profit man?	For there are many things multiplying vanity; what advantage is to man?	Seeing there be many things that increase vanity, what is man the better?	
Ecclesiastes 6:12	For who knoweth what <i>is</i> good for man in <i>this</i> life, all the days of his vain life which he spendeth as a shadow? for who can tell a man what shall be after him under the sun?	For who knoweth what is good for man in his life, all the days of his vain life which he spendeth as a shadow? for who can tell a man what shall be after him under the sun?	What needeth a man to seek things that are above him, whereas he knoweth not what is profitable for him in his life, in all the days of his pilgrimage, and the time that passeth like a shadow? Or who can tell him what shall be after him under the sun? 	For who knoweth what is good for man in life, all the days of his vain life which he spendeth as a shadow? for who can tell man what shall be after him under the sun?	For who knoweth what is good for man in his life, all the days of his vain life which he spendeth as a shadow? for who can tell a man what shall be after him under the sun?	For who knoweth what is good for man in this life, all the days of his vain life which he spendeth as a shadow? for who can tell a man what shall be after him under the sun?	For who knows what is good for man in life, all the days of his vain life which he spends like a shadow? For who can tell a man what will be after him under the sun?	For who knoweth what is good for a man in life, the number of the days of the life of his vanity, and he maketh them as a shadow? for who declareth to man what is after him under the sun?	For who knows what is good for man in this life, all the days of his vain life which he spends as a shadow? for who can tell a man what shall be after him under the sun?	
Ecclesiastes 7:1	A good name <i>is</i> better than precious ointment; and the day of death than the day of one's birth.	A good name is better than precious oil; and the day of death, than the day of one's birth.	A good name is better than precious ointments: and the day of death than the day of one's birth. 	A good name is better than precious ointment, and the day of death than the day of one's birth.	A GOOD name is better than precious ointment; and the day of death than the day of one's birth.	A good name is better than precious ointment; and the day of death than the day of one's birth.	A good name is better than fine perfume; and the day of death better than the day of one's birth.	Better is a name than good perfume, And the day of death than the day of birth.	A good name is better than precious ointment; and the day of death than the day of one's birth.	
Ecclesiastes 7:2	<i>It is</i> better to go to the house of mourning, than to go to the house of feasting: for that <i>is</i> the end of all men; and the living will lay <i>it</i> to his heart.	It is better to go to the house of mourning than to go to the house of feasting: for that is the end of all men; and the living will lay it to his heart.	It is better to go to the house of mourning, than to the house of feasting: for in that we are put in mind of the end of all, and the living thinketh what is to come. 	It is better to go to the house of mourning than to go to the house of feasting: in that that is the end of all men, and the living taketh it to heart.	It is better to go to the house of mourning, than to go to the house of feasting: for that is the end of all men; and the living will lay it to his heart.	It is better to go to the house of mourning, than to go to the house of feasting: for that is the end of all men; and the living will lay it to his heart.	It is better to go to the house of mourning than to go to the house of feasting: for that is the end of all men, and the living should take this to heart.	Better to go unto a house of mourning, Than to go unto a house of banqueting, For that is the end of all men, And the living layeth it unto his heart.	It is better to go to the house of mourning, than to go to the house of feasting: for that is the end of all men; and the living will lay it to his heart.	
Ecclesiastes 7:3	Sorrow <i>is</i> better than laughter: for by the sadness of the countenance the heart is made better.	Sorrow is better than laughter; for by the sadness of the countenance the heart is made glad.	Anger is better than laughter: because by the sadness of the countenance the mind of the offender is corrected. 	Vexation is better than laughter; for by the sadness of the countenance the heart is made better.	Sorrow is better than laughter: for by the sadness of the countenance the heart is made glad.	Sorrow is better than laughter: for by the sadness of the countenance the heart is made better.	Sorrow is better than laughter; for by the sadness of the face the heart is made good.	Better is sorrow than laughter, For by the sadness of the face the heart becometh better.	Sorrow is better than laughter: for by the sadness of the countenance the heart is made better.	
Ecclesiastes 7:4	The heart of the wise <i>is</i> in the house of mourning; but the heart of fools <i>is</i> in the house of mirth.	The heart of the wise is in the house of mourning; but the heart of fools is in the house of mirth.	The heart of the wise is where there is mourning, and the heart of fools where there is mirth. 	The heart of the wise is in the house of mourning, but the heart of fools in the house of mirth.	The heart of the wise is in the house of mourning; but the heart of fools is in the house of mirth.	The heart of the wise is in the house of mourning; but the heart of fools is in the house of mirth.	The heart of the wise is in the house of mourning; but the heart of fools is in the house of mirth.	The heart of the wise is in a house of mourning, And the heart of fools in a house of mirth.	The heart of the wise is in the house of mourning; but the heart of fools is in the house of mirth.	
Ecclesiastes 7:5	<i>It is</i> better to hear the rebuke of the wise, than for a man to hear the song of fools.	It is better to hear the rebuke of the wise, than for a man to hear the song of fools.	It is better to be rebuked by a wise man, than to be deceived by the flattery of fools. 	It is better for a man to hear the rebuke of the wise, than to hear the song of fools.	It is better to hear the rebuke of the wise, than for a man to hear the song of fools.	It is better to hear the rebuke of the wise, than for a man to hear the song of fools.	It is better to hear the rebuke of the wise, than for a man to hear the song of fools.	Better to hear a rebuke of a wise man, Than for a man to hear a song of fools,	It is better to hear the rebuke of the wise, than for a man to hear the song of fools.	
Ecclesiastes 7:6	For as the crackling of thorns under a pot, so <i>is</i> the laughter of the fool: this also <i>is</i> vanity.	For as the crackling of thorns under a pot, so is the laughter of the fool: this also is vanity.	For as the crackling of thorns burning under a pot, so is the laughter of a fool: now this also is vanity. 	For as the crackling of thorns under a pot, so is the laughter of the fool. This also is vanity.	For as the crackling of thorns under a pot, so is the laughter of the fool: this also is vanity.	For as the crackling of thorns under a pot, so is the laughter of the fool: this also is vanity.	For as the crackling of thorns under a pot, so is the laughter of the fool. This also is vanity.	For as the noise of thorns under the pot, So is the laughter of a fool, even this is vanity.	For as the crackling of thorns under a pot, so is the laughter of the fool: this also is vanity.	
Ecclesiastes 7:7	Surely oppression maketh a wise man mad; and a gift destroyeth the heart.	Surely extortion maketh the wise man foolish; and a bribe destroyeth the understanding.	Oppression troubleth the wise, and shall destroy the strength of his heart. 	Surely oppression maketh a wise man mad, and a gift destroyeth the heart.	Surely extortion maketh a wise man foolish; and a gift destroyeth the understanding.	Surely oppression maketh a wise man mad; and a gift destroyeth the heart.	Surely extortion makes the wise man foolish; and a bribe destroys the understanding.	Surely oppression maketh the wise mad, And a gift destroyeth the heart.	Surely oppression makes a wise man mad; and a gift destroys the heart.	
Ecclesiastes 7:8	Better <i>is</i> the end of a thing than the beginning thereof: <i>and</i> the patient in spirit <i>is</i> better than the proud in spirit.	Better is the end of a thing than the beginning thereof; and the patient in spirit is better than the proud in spirit.	Better is the end of a speech than the beginning. Better is the patient man than the presumptuous. 	Better is the end of a thing than its beginning; better is a patient spirit than a proud spirit.	Better is the end of a thing than the beginning thereof: and the patient in spirit is better than the proud in spirit.	Better is the end of a thing than its beginning: and the patient in spirit is better than the proud in spirit.	Better is the end of a thing than its beginning. The patient in spirit is better than the proud in spirit.	Better is the latter end of a thing than its beginning, Better is the patient of spirit, than the haughty of spirit.	Better is the end of a thing than the beginning thereof: and the patient in spirit is better than the proud in spirit.	
Ecclesiastes 7:9	Be not hasty in thy spirit to be angry: for anger resteth in the bosom of fools.	Be not hasty in thy spirit to be angry; for anger resteth in the bosom of fools.	Be not quickly angry: for anger resteth in the bosom of a fool. 	Be not hasty in thy spirit to be vexed; for vexation resteth in the bosom of fools.	Be not hasty in thy spirit to be angry: for anger resteth in the bosom of fools.	Be not hasty in thy spirit to be angry: for anger resteth in the bosom of fools.	Don't be hasty in your spirit to be angry, for anger rests in the bosom of fools.	Be not hasty in thy spirit to be angry, For anger in the bosom of fools resteth.	Be not hasty in your spirit to be angry: for anger rests in the bosom of fools.	
Ecclesiastes 7:10	Say not thou, What is <i>the cause</i> that the former days were better than these? for thou dost not inquire wisely concerning this.	Say not thou, What is the cause that the former days were better than these? for thou dost not inquire wisely concerning this.	Say not: What thinkest thou is the cause that former times were better than they are now? for this manner of question is foolish. 	Say not, How is it that the former days were better than these? for thou dost not inquire wisely concerning this.	Say not thou, What is the cause that the former days were better than these? for thou dost not inquire wisely concerning this.	Say not thou, What is the cause that the former days were better than these? for thou dost not inquire wisely concerning this.	Don't say, |Why were the former days better than these?| For you do not ask wisely about this.	Say not thou, 'What was it, That the former days were better than these?' For thou hast not asked wisely of this.	Say not you, What is the cause that the former days were better than these? for you do not inquire wisely concerning this.	
Ecclesiastes 7:11	Wisdom <i>is</i> good with an inheritance: and <i>by it there is</i> profit to them that see the sun.	Wisdom is as good as an inheritance; yea, more excellent is it for them that see the sun.	Wisdom with riches is more profitable, and bringeth more advantage to them that see the sun. 	Wisdom is as good as an inheritance, and profitable to them that see the sun.	Wisdom is as good as an inheritance: yea, more excellent is it for them that see the sun.	Wisdom is good with an inheritance: and by it there is profit to them that see the sun.	Wisdom is as good as an inheritance. Yes, it is more excellent for those who see the sun.	Wisdom is good with an inheritance, And an advantage it is to those beholding the sun.	Wisdom is good with an inheritance: and by it there is profit to them that see the sun.	
Ecclesiastes 7:12	For wisdom <i>is</i> a defence, <i>and</i> money <i>is</i> a defence: but the excellency of knowledge <i>is, that</i> wisdom giveth life to them that have it.	For wisdom is a defence, even as money is a defence; but the excellency of knowledge is, that wisdom preserveth the life of him that hath it.	For as wisdom is a defence, so money is a defence : but learning and wisdom excel in this, that they give life to him that possesseth them. 	For wisdom is a defence as money is a defence; but the excellency of knowledge is, that wisdom maketh them that possess it to live.	For wisdom is a defence, even as money is a defence: but the excellency of knowledge is, that wisdom preserveth the life of him that hath it.	For wisdom is a defense, and money is a defense: but the excellence of knowledge is, that wisdom giveth life to them that have it.	For wisdom is a defense, even as money is a defense; but the excellency of knowledge is that wisdom preserves the life of him who has it.	For wisdom is a defense, money is a defence, And the advantage of the knowledge of wisdom is, She reviveth her possessors.	For wisdom is a defense, and money is a defense: but the excellency of knowledge is, that wisdom gives life to them that have it.	
Ecclesiastes 7:13	Consider the work of God: for who can make <i>that</i> straight, which he hath made crooked?	Consider the work of God: for who can make that straight, which he hath made crooked?	Consider the works of God, that no man can correct whom he hath despised. 	Consider the work of God; for who can make straight what he hath made crooked?	Consider the work of God: for who can make that straight, which he hath made crooked?	Consider the work of God: for who can make that straight, which he hath made crooked?	Consider the work of God, for who can make that straight, which he has made crooked?	See the work of God, For who is able to make straight that which He made crooked?	Consider the work of God: for who can make that straight, which he has made crooked?	
Ecclesiastes 7:14	In the day of prosperity be joyful, but in the day of adversity consider: God also hath set the one over against the other, to the end that man should find nothing after him.	In the day of prosperity be joyful, and in the day of adversity consider; yea, God hath made the one side by side with the other, to the end that man should not find out anything that shall be after him.	In the good day enjoy good things, and beware beforehand of the evil day: for God hath made both the one and the other, that man may not find against him any just complaint. 	In the day of prosperity enjoy good, and in the day of adversity consider: God hath also set the one beside the other, to the end that man should find out nothing of what shall be after him.	In the day of prosperity be joyful, and in the day of adversity consider: God hath even made the one side by side with the other, to the end that man should not find out any thing that shall be after him.	In the day of prosperity be joyful, but in the day of adversity consider: God also hath set the one over against the other, to the end that man should find nothing after him.	In the day of prosperity be joyful, and in the day of adversity consider; yes, God has made the one side by side with the other, to the end that man should not find out anything after him.	In a day of prosperity be in gladness, And in a day of evil consider. Also this over-against that hath God made, To the intent that man doth not find anything after him.	In the day of prosperity be joyful, but in the day of adversity consider: God also has set the one over against the other, to the end that man should find nothing after him.	
Ecclesiastes 7:15	All <i>things</i> have I seen in the days of my vanity: there is a just <i>man</i> that perisheth in his righteousness, and there is a wicked <i>man</i> that prolongeth <i>his life</i> in his wickedness.	All this have I seen in my days of vanity: there is a righteous man that perisheth in his righteousness, and there is a wicked man that prolongeth his life in his evil-doing.	These things also I saw in the days of my vanity: A just man perisheth in his justice, and a wicked man liveth a long time in his wickedness. 	All this have I seen in the days of my vanity: there is a righteous man that perisheth by his righteousness, and there is a wicked man that prolongeth his days by his wickedness.	All this have I seen in the days of my vanity: there is a righteous man that perisheth in his righteousness, and there is a wicked man that prolongeth his life in his evil-doing.	All things have I seen in the days of my vanity: there is a just man that perisheth in his righteousness, and there is a wicked man that prolongeth his life in his wickedness.	All this have I seen in my days of vanity: there is a righteous man who perishes in his righteousness, and there is a wicked man who lives long in his evildoing.	The whole I have considered in the days of my vanity. There is a righteous one perishing in his righteousness, and there is a wrong-doer prolonging himself in his wrong.	All things have I seen in the days of my vanity: there is a just man that perishes in his righteousness, and there is a wicked man that prolongs his life in his wickedness.	
Ecclesiastes 7:16	Be not righteous over much; neither make thyself over wise: why shouldest thou destroy thyself?	Be not righteous overmuch; neither make thyself overwise: why shouldest thou destroy thyself?	Be not over just: and be not more wise than is necessary, lest thou become stupid. 	Be not righteous overmuch; neither make thyself overwise: why shouldest thou destroy thyself?	Be not righteous over much; neither make thyself over wise: why shouldest thou destroy thyself?	Be not righteous over much; neither make thyself over wise: why shouldst thou destroy thyself?	Don't be overly righteous, neither make yourself overly wise. Why should you destroy yourself?	Be not over-righteous, nor show thyself too wise, why art thou desolate?	Be not righteous over much; neither make yourself over wise: why should you destroy yourself ?	
Ecclesiastes 7:17	Be not over much wicked, neither be thou foolish: why shouldest thou die before thy time?	Be not overmuch wicked, neither be thou foolish: why shouldest thou die before thy time?	Be not overmuch wicked: and be not foolish, lest thou die before thy time. 	Be not overmuch wicked, neither be thou foolish: why shouldest thou die before thy time?	Be not over much wicked, neither be thou foolish: why shouldest thou die before thy time?	Be not over much wicked, neither be thou foolish: why shouldst thou die before thy time?	Don't be too wicked, neither be foolish. Why should you die before your time?	Do not much wrong, neither be thou a fool, why dost thou die within thy time?	Be not over much wicked, neither be you foolish: why should you die before your time?	
Ecclesiastes 7:18	<i>It is</i> good that thou shouldest take hold of this; yea, also from this withdraw not thine hand: for he that feareth God shall come forth of them all.	It is good that thou shouldest take hold of this; yea, also from that withdraw not thy hand: for he that feareth God shall come forth from them all.	It is good that thou shouldst hold up the just, yea and from him withdraw not thy hand: for he that feareth God, neglecteth nothing. 	It is good that thou shouldest take hold of this; yea, also from that withdraw not thy hand: for he that feareth God cometh forth from them all.	It is good that thou shouldest take hold of this; yea, also from that withdraw not thine hand: for he that feareth God shall come forth of them all.	It is good that thou shouldst take hold of this; yes, also from this withdraw not thy hand: for he that feareth God shall escape from them all.	It is good that you should take hold of this. Yes, also from that don't withdraw your hand; for he who fears God will come forth from them all.	It is good that thou dost lay hold on this, and also, from that withdrawest not thy hand, for whoso is fearing God goeth out with them all.	It is good that you should take hold of this; yes, also from this withdraw not your hand: for he that fears God shall come forth of them all.	
Ecclesiastes 7:19	Wisdom strengtheneth the wise more than ten mighty <i>men</i> which are in the city.	Wisdom is a strength to the wise man more than ten rulers that are in a city.	Wisdom hath strengthened the wise more than ten princes of the city. 	Wisdom strengtheneth the wise more than ten mighty men that are in a city.	Wisdom is a strength to the wise man more than ten rulers which are in a city.	Wisdom strengtheneth the wise more than ten mighty men who are in the city.	Wisdom is a strength to the wise man more than ten rulers who are in a city.	The wisdom giveth strength to a wise man, more than wealth the rulers who have been in a city.	Wisdom strengthens the wise more than ten mighty men which are in the city.	
Ecclesiastes 7:20	For <i>there is</i> not a just man upon earth, that doeth good, and sinneth not.	Surely there is not a righteous man upon earth, that doeth good, and sinneth not.	For there is no just man upon earth, that doth good, and sinneth not. 	Surely there is not a righteous man upon earth, that doeth good and sinneth not.	Surely there is not a righteous man upon earth, that doeth good, and sinneth not.	For there is not a just man upon earth, that doeth good, and sinneth not.	Surely there is not a righteous man on earth, who does good and doesn't sin.	Because there is not a righteous man on earth that doth good and sinneth not.	For there is not a just man on earth, that does good, and sins not.	
Ecclesiastes 7:21	Also take no heed unto all words that are spoken; lest thou hear thy servant curse thee:	Also take not heed unto all words that are spoken, lest thou hear thy servant curse thee;	But do not apply thy heart to all words that are spoken: lest perhaps thou hear thy servant reviling thee. 	Also give not heed unto all words that are spoken, lest thou hear thy servant curse thee.	Also take not heed unto all words that are spoken; lest thou hear thy servant curse thee:	Also take no heed to all words that are spoken; lest thou hear thy servant curse thee:	Also don't take heed to all words that are spoken, lest you hear your servant curse you;	Also to all the words that they speak give not thy heart, that thou hear not thy servant reviling thee.	Also take no heed to all words that are spoken; lest you hear your servant curse you:	
Ecclesiastes 7:22	For oftentimes also thine own heart knoweth that thou thyself likewise hast cursed others.	for oftentimes also thine own heart knoweth that thou thyself likewise hast cursed others.	For thy conscience knoweth that thou also hast often spoken evil of others. 	For also thine own heart knoweth that oftentimes thou thyself likewise hast cursed others.	for oftentimes also thine own heart knoweth that thou thyself likewise hast cursed others.	For often also thy own heart knoweth that thou thyself likewise hast cursed others.	for often your own heart knows that you yourself have likewise cursed others.	For many times also hath thy heart known that thou thyself also hast reviled others.	For oftentimes also your own heart knows that you yourself likewise have cursed others.	
Ecclesiastes 7:23	All this have I proved by wisdom: I said, I will be wise; but it <i>was</i> far from me.	All this have I proved in wisdom: I said, I will be wise; but it was far from me.	I have tried all things in wisdom. I have said: I will be wise: and it departed farther from me, 	All this have I tried by wisdom: I said, I will be wise; but it was far from me.	All this have I proved in wisdom: I said, I will be wise; but it was far from me.	All this have I proved by wisdom: I said, I will be wise; but it was far from me.	All this have I proved in wisdom. I said, |I will be wise;| but it was far from me.	All this I have tried by wisdom; I have said, 'I am wise,' and it is far from me.	All this have I proved by wisdom: I said, I will be wise; but it was far from me.	
Ecclesiastes 7:24	That which is far off, and exceeding deep, who can find it out?	That which is, is far off and exceeding deep; who can find it out?	Much more than it was: it is a great depth, who shall find it out? 	Whatever hath been, is far off, and exceeding deep: who will find it out?	That which is is far off, and exceeding deep; who can find it out?	That which is far off, and exceedingly deep, who can find it out?	That which is, is far off and exceedingly deep. Who can find it out?	Far off is that which hath been, and deep, deep, who doth find it?	That which is far off, and exceeding deep, who can find it out?	
Ecclesiastes 7:25	I applied mine heart to know, and to search, and to seek out wisdom, and the reason <i>of things</i>, and to know the wickedness of folly, even of foolishness <i>and</i> madness:	I turned about, and my heart was set to know and to search out, and to seek wisdom and the reason of things , and to know that wickedness is folly, and that foolishness is madness.	I have surveyed all things with my mind, to know, and consider, and seek out wisdom and reason: and to know the wickedness of the fool, and the error of the imprudent: 	I turned, I and my heart, to know, and to search, and to seek out wisdom and reason, and to know wickedness to be folly, and foolishness to be madness;	I turned about, and my heart was set to know and to search out, and to seek wisdom and the reason of things, and to know that wickedness is folly, and that foolishness is madness:	I applied my heart to know, and to search, and to seek out wisdom, and the reason of things, and to know the wickedness of folly, even of foolishness and madness:	I turned around, and my heart sought to know and to search out, and to seek wisdom and the scheme of things, and to know that wickedness is stupidity, and that foolishness is madness.	I have turned round, also my heart, to know and to search, and to seek out wisdom, and reason, and to know the wrong of folly, and of foolishness the madness.	I applied my heart to know, and to search, and to seek out wisdom, and the reason of things, and to know the wickedness of folly, even of foolishness and madness:	
Ecclesiastes 7:26	And I find more bitter than death the woman, whose heart <i>is</i> snares and nets, <i>and</i> her hands <i>as</i> bands: whoso pleaseth God shall escape from her; but the sinner shall be taken by her.	And I find more bitter than death the woman whose heart is snares and nets, and whose hands are bands: whoso pleaseth God shall escape from her; but the sinner shall be taken by her.	And I have found a woman more bitter than death, who is the hunter's snare, and her heart is a net, and her hands are bands. He that pleaseth God shall escape from her: but he that is a sinner, shall be caught by her. 	and I found more bitter than death the woman whose heart is nets and snares, and whose hands are bands: whoso pleaseth God shall escape from her; but the sinner shall be caught by her.	And I find a thing more bitter than death, even the woman whose heart is snares and nets, and her hands as bands: whoso pleaseth God shall escape from her; but the sinner shall be taken by her.	And I find more bitter than death the woman whose heart is snares and nets, and her hands as bands: whoever pleaseth God shall escape from her; but the sinner shall be taken by her.	I find more bitter than death the woman whose heart is snares and traps, whose hands are chains. Whoever pleases God shall escape from her; but the sinner will be ensnared by her.	And I am finding more bitter than death, the woman whose heart is nets and snares, her hands are bands; the good before God escapeth from her, but the sinner is captured by her.	And I find more bitter than death the woman, whose heart is snares and nets, and her hands as bands: whoever pleases God shall escape from her; but the sinner shall be taken by her.	
Ecclesiastes 7:27	Behold, this have I found, saith the preacher, <i>counting</i> one by one, to find out the account:	Behold, this have I found, saith the Preacher, laying one thing to another, to find out the account;	Lo this have I found, said Ecclesiastes, weighing one thing after another, that I might find out the account, 	See this which I have found, saith the Preacher, searching one by one to find out the reason;	Behold, this have I found, saith the Preacher; laying one thing to another, to find out the account:	Behold, this have I found, saith the preacher, counting one by one, to find out the account:	|Behold, I have found this,| says the Preacher, |one to another, to find out the scheme;	See, this I have found, said the Preacher, one to one, to find out the reason	Behold, this have I found, said the preacher, counting one by one, to find out the account:	
Ecclesiastes 7:28	Which yet my soul seeketh, but I find not: one man among a thousand have I found; but a woman among all those have I not found.	which my soul still seeketh, but I have not found: one man among a thousand have I found; but a woman among all those have I not found.	Which yet my soul seeketh, and I have not found it. One man among a thousand I have found, a woman among them all I have not found. 	which my soul yet seeketh, and I have not found: one man among a thousand have I found, but a woman among all those have I not found.	which my soul still seeketh, but I have not found: one man among a thousand have I found; but a woman among all those have I not found.	Which yet my soul seeketh, but I find not: one man among a thousand have I found; but a woman among all those have I not found.	which my soul still seeks; but I have not found. One man among a thousand have I found; but I have not found a woman among all those.	(that still my soul had sought, and I had not found), One man, a teacher, I have found, and a woman among all these I have not found.	Which yet my soul seeks, but I find not: one man among a thousand have I found; but a woman among all those have I not found.	
Ecclesiastes 7:29	Lo, this only have I found, that God hath made man upright; but they have sought out many inventions.	Behold, this only have I found: that God made man upright; but they have sought out many inventions.	Only this I have found, that God made man right, and he hath entangled himself with an infinity of questions. Who is as the wise man? and who hath known the resolution of the word? 	Only see this which I have found: that God made man upright, but they have sought out many devices.	Behold, this only have I found, that God made man upright; but they have sought out many inventions.	Lo, this only have I found, that God hath made man upright; but they have sought out many inventions.	Behold, this only have I found: that God made man upright; but they search for many schemes.|	See, this alone I have found, that God made man upright, and they &#8212; they have sought out many devices.	See, this only have I found, that God has made man upright; but they have sought out many inventions.	
Ecclesiastes 8:1	Who <i>is</i> as the wise <i>man</i>? and who knoweth the interpretation of a thing? a man's wisdom maketh his face to shine, and the boldness of his face shall be changed.	Who is as the wise man? and who knoweth the interpretation of a thing? A man's wisdom maketh his face to shine, and the hardness of his face is changed.	The wisdom of a man shineth in his countenance, and the most mighty will change his face. 	Who is as the wise? and who knoweth the explanation of things? A man's wisdom maketh his face to shine, and the boldness of his face is changed.	Who is as the wise man? and who knoweth the interpretation of a thing? A man's wisdom maketh his face to shine, and the hardness of his face is changed.	Who is as the wise man? and who knoweth the interpretation of a thing? a man's wisdom maketh his face to shine, and the boldness of his face shall be changed.	Who is like the wise man? And who knows the interpretation of a thing? A man's wisdom makes his face shine, and the hardness of his face is changed.	Who is as the wise? and who knoweth the interpretation of a thing? The wisdom of man causeth his face to shine, and the hardness of his face is changed.	Who is as the wise man? and who knows the interpretation of a thing?  a man's wisdom makes his face to shine, and the boldness of his face shall be changed.	
Ecclesiastes 8:2	I <i>counsel thee</i> to keep the king's commandment, and <i>that</i> in regard of the oath of God.	I counsel thee , Keep the king's command, and that in regard of the oath of God.	I observe the mouth of the king, and the commandments of the oath of God. 	I say, Keep the king's commandment, and that on account of the oath of God.	I counsel thee, Keep the king's command, and that in regard of the oath of God.	I counsel thee to keep the king's commandment, and that in regard of the oath of God.	I say, |Keep the king's command!| because of the oath to God.	I pray thee, the commandment of a king keep, even for the sake of the oath of God.	I counsel you to keep the king's commandment, and that in regard of the oath of God.	
